Date,ASIANPAINT.BO,BHARTIARTL.BO,ICICIBANK.BO,INFY.BO,MARUTI.BO,NESTLEIND.BO,RELIANCE.BO,SBIN.BO,TATASTEEL.BO,WIPRO.BO,APOLLOHOSP.BO,BANKBARODA.BO,BERGEPAINT.BO,BRITANNIA.BO,CIPLA.BO,GODREJPROP.BO,HAVELLS.BO,IOC.BO,MUTHOOTFIN.BO,SHREECEM.BO,Open
19-01-2022,3257.602051,700.9342651,803.5291748,1828.150757,7956.08252,18632.41797,2513.829346,507.9777222,1138.656372,613.6561279,4499.722656,93.04965973,745.1099243,3461.373047,891.1210327,1850.099976,1300.082275,118.2540054,1451.834473,26287.73438,57317.37891
20-01-2022,3284.011475,712.1345215,805.1196899,1785.522949,7983.75,18489.93945,2471.357422,503.694458,1137.478882,607.7793579,4636.797363,93.82629395,740.8287354,3488.958252,878.4326782,1867,1301.522583,118.6322632,1451.145142,25993.9668,57795.10938
21-01-2022,3251.148682,691.9741211,799.8015747,1748.229736,8135.003906,18686.87695,2470.659424,495.0788269,1101.258667,598.7272949,4677.984375,89.89461517,741.2767944,3502.557129,862.7090454,1798.849976,1233.526001,115.0387802,1409.24353,24943.49219,57845.91016
24-01-2022,3133.199219,686.5482178,793.4397583,1700.120605,7994.628418,18442.03711,2370.411377,486.5124512,1035.411865,566.7232056,4484.614258,89.89461517,710.3632813,3410.559082,887.3891602,1654.75,1173.47644,113.809433,1419.288086,24241.7168,58672.85938
25-01-2022,3123.767334,708.7495728,796.7697754,1685.633911,8544.306641,18525.91602,2366.572754,506.9437866,1044.408081,556.8301392,4466.264648,95.62224579,723.4057007,3435.772705,899.729187,1640.550049,1177.400146,114.8496475,1440.411133,24404.75977,59293.44141
27-01-2022,3094.925537,704.0703735,789.2647705,1642.957153,8759.539063,18128.3457,2331.229248,520.8765259,1025.61499,538.9237671,4281.77002,100.4761658,711.9064941,3379.634766,923.3643799,1608.650024,1138.161743,115.937149,1413.527222,23854.375,59528.16016
28-01-2022,3090.308838,712.7318726,776.4417114,1649.564209,8497.217773,18113.50977,2328.387695,515.3132324,1021.705688,546.2940674,4472.19873,100.2334671,721.8127441,3394.734131,927.6436157,1633.849976,1134.287598,117.355629,1416.383057,24032.85742,58918.64844
31-01-2022,3132.107178,726.1721191,784.5430908,1699.924683,8538.345703,18262.15039,2379.185059,530.0828857,1022.506348,566.5253906,4444.524414,104.4078445,719.1743774,3421.39917,940.1826782,1714.550049,1175.761108,118.3958511,1435.684448,24181.90625,58549.67188
01-02-2022,3174.550781,719.5515137,805.0700073,1734.624146,8501.489258,18395.51172,2373.30249,524.0765991,1099.939697,570.6309814,4498.675781,103.0001984,728.5330811,3539.046631,940.6305542,1721.349976,1179.784302,115.1333466,1444.645752,25398.8125,57799.67188
02-02-2022,3174.997803,721.7418213,808.9467163,1750.236328,8461.005859,18228.93359,2376.343506,531.5598755,1099.79834,581.8595581,4651.507324,106.1552505,739.2358398,3505.702637,946.9000854,1783.550049,1201.936523,117.6866074,1447.895508,25165.44922,58163.01172
