Date,ADANIPORTS.NS,BPCL.NS,COALINDIA.NS,HCLTECH.NS,HEROMOTOCO.NS,HINDUNILVR.NS,NTPC.NS,ONGC.NS,SUNPHARMA.NS,TECHM.NS,BIOCON.NS,DABUR.NS,DLF.NS,GAIL.NS,HAVELLS.NS,IDBI.NS,MARICO.NS,NAUKRI.NS,PEL.NS,VEDL.NS,Open
28-01-2022,705.2642212,370.8833008,141.8211517,1031.151489,2549.209717,2228.57666,130.2129364,155.3839722,812.0889893,1366.654663,363.5131226,529.0048828,375.3960571,90.78577423,1134.685669,48.5,465.6215515,4389.921387,2321.294189,244.881073,17208.30078
31-01-2022,711.3718872,384.991394,140.1980743,1049.236938,2598.960449,2219.012207,131.9782257,158.8819733,819.1070557,1432.873047,366.5082703,531.7789307,387.848053,92.3863678,1176.556519,48.25,476.5337524,4882.804688,2345.023193,240.4714661,17301.05078
01-02-2022,733.6674805,367.3441467,143.0494232,1081.113037,2601.297852,2250.144531,131.1420441,157.3630981,875.3010864,1458.788818,375.5436707,541.3890381,401.6395264,94.43512726,1179.934082,47.95000076,491.4455261,4981.88916,2474.896484,252.7285919,17529.44922
02-02-2022,740.0731201,370.4954529,143.751297,1117.522095,2578.068115,2271.858643,131.1420441,157.6852875,874.2213135,1436.699829,386.6257935,552.2871704,396.430542,93.28269958,1201.937256,49.20000076,499.0001221,5096.317871,2468.473877,256.5402527,17706.19922
03-02-2022,727.4604492,365.5987854,141.5140839,1103.970093,2653.529053,2242.824951,130.6639404,154.1872864,867.2523193,1408.943359,392.0670166,551.2964478,400.1016541,94.37110138,1198.659302,51.54999924,495.0499878,4977.156738,2451.706543,258.0724182,17767.75
04-02-2022,721.9486694,364.241333,140.7244568,1110.698608,2596.527832,2251.071533,128.3212738,156.1203918,877.4605103,1403.033569,391.0187073,563.7302246,396.3809204,93.8269043,1201.540039,50.20000076,510.5499878,4827.109863,2417.485352,266.3310242,17590.19922
07-02-2022,710.2298584,361.1385498,141.2070007,1104.542603,2526.218994,2203.251221,129.22966,158.4217072,870.6877441,1399.255371,398.6563721,561.4514771,384.1273499,94.91530609,1187.036621,49.40000153,511.3999939,4778.9375,2395.177979,273.0574951,17456.30078
08-02-2022,712.8615723,365.9382019,140.3296814,1108.932739,2549.019043,2209.838623,129.0862427,153.6809998,877.6077271,1389.470093,403.9478455,557.0427246,381.5476379,92.3863678,1178.940796,48.70000076,505.7999878,4757.666504,2389.932373,276.1217957,17279.84961
09-02-2022,728.4039307,364.1928711,147.9186249,1127.018311,2603.30127,2222.818604,129.1340485,150.9194489,876.9647217,1409.427856,406.5935669,565.2163086,383.3336182,91.52204895,1215.795044,48.40000153,512.2000122,4895.060059,2418.220947,281.5029602,17370.09961
10-02-2022,726.0204468,363.2592773,147.4360962,1136.036987,2608.309814,2228.186279,130.4727173,155.660141,884.7307129,1422.700439,403.0492859,559.3709106,388.0961304,90.65772247,1211.225586,48.54999924,507.5499878,4870.550293,2447.686279,283.6329956,17554.09961
11-02-2022,718.7210083,363.1610107,146.0762177,1110.602905,2593.522949,2203.641357,131.1420441,154.7856293,870.6826172,1380.460327,402.2505493,555.6556396,375.644104,90.04949188,1166.970459,47.65000153,499.2999878,4578.775391,2375.272949,282.5492859,17451
14-02-2022,690.9633179,355.4467468,141.8211517,1094.140015,2526.647949,2174.900635,126.6957474,152.9906006,855.5958252,1346.794067,392.9156189,547.977417,352.2779541,88.0647583,1148.394409,45.15000153,489.7999878,4494.834473,2211.521973,270.1800232,17076.15039
15-02-2022,715.6422729,362.5222473,143.5758209,1115.231812,2650.810059,2234.968994,129.4209137,151.1035461,867.4179077,1394.750244,403.2489624,557.2408447,368.6491394,89.15316772,1181.920898,47.20000076,503.1499939,4665.355957,2247.458984,277.9902344,16933.25
16-02-2022,735.6536865,367.6323547,143.751297,1114.515991,2658.584961,2231.455322,127.3650818,155.1538544,859.5529785,1398.9646,401.2022705,556.6464233,364.9780273,89.21718597,1198.410889,48.75,500.2000122,4563.332031,2226.13208,274.3654175,17408.44922
17-02-2022,729.1487427,366.5513611,143.0494232,1109.982666,2664.928955,2251.998779,126.9347992,158.0995178,853.3203735,1402.403931,395.0621948,549.2654419,362.7456055,89.5052948,1198.957153,47.70000076,506.1499939,4531.200684,2197.647217,275.7481079,17396.55078
