Date,APOLLOHOSP.BO,BANKBARODA.BO,BERGEPAINT.BO,BRITANNIA.BO,CIPLA.BO,GODREJPROP.BO,HAVELLS.BO,IOC.BO,MUTHOOTFIN.BO,SHREECEM.BO
04-02-2019,1245.417725,101.8837967,302.5480042,2838.486572,525.1253052,759.7999878,721.3011475,108.857605,480.2975769,15907.49707
11-02-2019,1128.389282,98.04920197,285.8917236,2611.802246,530.3760376,712.4500122,669.279541,102.4878311,479.4181824,15407.47949
18-02-2019,1130.911865,99.84515381,287.5036621,2751.893799,531.7009888,728.4500122,675.0651245,111.2258377,494.2756348,15939.73633
25-02-2019,1141.101196,104.747612,295.0257874,2806.123047,541.4173584,711.4500122,687.8030396,120.6171494,491.8225098,16470.41602
04-03-2019,1156.632324,110.4267044,295.1723328,2797.17627,529.4927368,699.5499878,707.6393433,121.392952,528.8966675,17429.875
11-03-2019,1112.808716,114.5039902,301.766449,2802.973389,521.8865356,693.5499878,725.0933228,127.9668808,553.3812866,17328.32422
18-03-2019,1136.303345,116.6397247,306.7975464,2826.664551,517.0773926,844,736.4700317,127.9668808,550.465332,17873.44531
25-03-2019,1207.82605,125.0370026,316.1758423,2813.654541,519.4819336,814.3499756,749.6455688,132.866684,569.951355,18372.52734
01-04-2019,1232.705811,126.8329468,326.1891479,2733.954834,524.0947876,978.4500122,739.630249,129.9516754,571.571167,18789.5293
08-04-2019,1247.198364,126.9300308,319.5950012,2725.783936,544.0673218,905.9000244,723.3432007,127.7741928,569.0256348,18767.58984
15-04-2019,1256.299438,122.658577,321.6465149,2738.610596,551.5753784,916.2999878,736.0811157,128.3082733,580.5634155,19379.85352
22-04-2019,1225.682251,119.6976929,312.9032288,2709.076416,557.9057007,857.1500244,746.9229736,125.637764,558.7969971,19718.62109
29-04-2019,1184.924927,115.4747772,304.3552856,2460.481934,553.9309082,821.0999756,747.6036377,128.3082733,565.6433105,19599.22266
06-05-2019,1171.125,110.4267044,294.2931213,2454.547363,544.0182495,789.25,717.7033081,121.4471207,541.5161133,18722.78125
13-05-2019,1125.817261,108.7763748,292.9254761,2536.118896,533.8602295,830.6500244,714.6890259,123.0083466,547.1820068,19060.16602
20-05-2019,1157.522583,133.0459747,303.4760437,2603.494385,559.7705078,882.3499756,723.2944336,128.8424072,606.4376221,20624.39844
27-05-2019,1226.275757,129.3569946,322.9165039,2677.580322,548.7290649,886.1500244,727.281189,136.0322876,613.8504639,21258.4043
03-06-2019,1382.033569,117.7075806,318.9599915,2644.303467,539.4053955,867.2000122,766.0785522,134.8818817,581.8382568,20522.84961
10-06-2019,1356.659058,115.5233154,320.3276978,2702.001709,545.588562,915.5999756,756.7924194,131.5950928,598.2220459,20204.73633
17-06-2019,1333.263184,114.552536,310.460907,2583.820801,541.5155029,958.2000122,764.7659302,126.5005493,588.5429077,20897.74805
24-06-2019,1344.441895,118.2900543,310.0213318,2504.714111,542.2025146,1003.299988,763.9394531,128.0617981,607.8540649,21508.18945
01-07-2019,1292.852295,126.5902557,306.309082,2577.840576,539.7489014,924.0499878,743.9572754,125.0625992,590.2426758,21093.11328
08-07-2019,1349.4375,122.1731873,302.3526001,2538.310303,546.324585,942.2000122,691.0604858,120.4610748,583.1603394,21082.5625
15-07-2019,1358.142944,114.552536,302.1083984,2506.585205,526.8918457,950.8499756,696.5057983,120.3788986,570.9786987,20874.77539
22-07-2019,1347.310425,109.2617645,320.3276978,2436.5625,522.5735474,947.2999878,683.3618164,116.5169296,557.7109985,21118.74609
29-07-2019,1297.650269,101.7867203,328.7833252,2370.328369,506.1342163,938.0499878,631.5067749,111.1758881,587.0792236,19734.00391
05-08-2019,1345.332031,96.9813385,355.1610413,2375.65918,478.9624023,904.4500122,642.7094727,107.2728043,612.0090332,19997.12891
12-08-2019,1455.435791,99.40830231,361.6347046,2295.359619,470.1274414,915.7000122,636.5944214,103.739502,599.7802734,19202.31055
19-08-2019,1424.719482,90.71977997,358.9661865,2264.828125,459.9105225,891.9000244,633.4146118,100.9457169,577.1167603,18152.74414
26-08-2019,1492.532715,89.89461517,364.7973938,2480.430176,466.4750061,900.5999756,663.989563,101.1598282,573.1034546,18351.39844
02-09-2019,1480.216553,91.54495239,360.1521912,2448.980469,468.8935242,886.3499756,645.6935425,104.7947998,552.7061768,17614.65625
09-09-2019,1442.822876,96.93280029,363.7596436,2456.418213,462.6251526,957.8499756,658.4616699,107.4384308,564.9350586,18601.35938
16-09-2019,1458.765991,97.32111359,394.8924255,2632.535645,457.442688,960.4000244,713.7410278,109.5037613,594.4448853,19069.92383
23-09-2019,1390.630127,92.37011719,436.3534546,2768.297119,433.8005676,1062.050049,698.7716064,120.0782547,649.5454712,19090.5625
30-09-2019,1390.630127,86.10855103,420.0951538,2611.370361,412.9718323,1001.5,664.7723389,124.7045746,628.3928833,17902.58398
07-10-2019,1439.447754,88.14720917,472.3291016,2831.517578,435.8735352,992.5999756,645.840271,118.4259796,626.5515137,18140.34961
14-10-2019,1497.949341,87.12788391,493.2325745,2986.607666,438.0946045,974.0499878,674.6052246,120.2847824,638.3081665,18429.71484
21-10-2019,1518.310547,89.02090454,484.7328491,2992.162598,455.3696594,983.9000244,653.3250732,117.8889771,628.1568604,19869.18359
28-10-2019,1449.827026,97.02987671,502.6712341,3001.529053,463.0200195,1000.200012,673.333313,117.8476791,669.4232788,19751.95898
04-11-2019,1409.253296,91.05956268,479.6922913,2903.048096,456.9490967,961.4000244,692.1185303,110.7429581,637.6471558,19685.24414
11-11-2019,1387.302856,91.54495239,481.4713135,2933.992676,457.1465149,906.0999756,658.2659302,108.8015366,662.246521,19265.02344
18-11-2019,1441.185791,96.15617371,471.3407593,2775.826416,472.3978882,891.75,624.8047485,107.1905899,646.9958496,20055.83984
