Date,BIOCON.NS,DABUR.NS,DLF.NS,GAIL.NS,HAVELLS.NS,IDBI.NS,MARICO.NS,NAUKRI.NS,PEL.NS,VEDL.NS
05-04-2018,302.2406616,315.7789612,198.1969147,91.40396881,491.1993103,72.30000305,301.3635559,1183.543823,2295.383301,151.3093719
06-04-2018,302.7877808,321.355957,196.3710938,91.91267395,510.8415833,73.09999847,298.4779663,1183.297607,2406.971924,148.7779541
09-04-2018,308.1596069,320.7467041,198.004715,90.96399689,511.8954468,73.69999695,305.4593201,1188.662598,2373.76709,146.8468323
10-04-2018,307.4384155,315.9195557,204.5872345,91.2802124,512.2788086,74.15000153,301.9686279,1196.09436,2369.158447,148.2821503
11-04-2018,304.9017029,322.8087158,205.2118835,89.91904449,508.6377563,72.09999847,298.8502808,1207.8573,2345.350098,154.9107208
12-04-2018,308.4580688,323.3711548,200.7434387,89.65782166,525.3096924,71.34999847,297.6867371,1220.112549,2334.055664,150.6830444
13-04-2018,311.0693665,319.1064453,202.040741,89.87780762,524.1119995,72.09999847,294.1959839,1226.412598,2320.999023,152.2227631
16-04-2018,312.4869385,321.9651489,206.1247559,89.28659821,523.1538696,72.15000153,297.0351257,1201.853149,2349.777588,151.5181427
17-04-2018,311.492157,322.1994934,208.4310608,89.54782867,527.2260132,71.05000305,297.7332764,1224.443848,2347.021484,150.7352295
18-04-2018,310.2237854,333.5409241,204.2028656,90.92274475,524.3515015,69.94999695,296.9885559,1208.300415,2330.8479,151.9357147
19-04-2018,318.1323242,335.8842163,206.9415894,92.21516418,528.7590332,70.05000305,298.1521301,1202.591064,2351.403809,162.6875916
20-04-2018,317.1127014,332.8847656,202.5211945,90.89524078,525.3096924,67.19999695,294.9872437,1185.906372,2320.773438,161.0696106
23-04-2018,316.3417358,335.1812744,203.7704468,91.44520569,523.2496948,69.30000305,295.0338135,1193.633667,2351.629883,159.2167358
24-04-2018,323.6285706,334.5250549,207.4220581,92.87511444,518.4108887,67.44999695,294.3356628,1214.206665,2320.45752,155.2239227
25-04-2018,324.6233215,336.3997192,210.3049316,90.07028961,516.015625,67.25,300.8516235,1202.73877,2329.447266,151.4659576
26-04-2018,330.0200195,334.7125244,210.545166,89.46533966,522.1956787,66.59999847,297.3609314,1203.132568,2334.145996,151.5181427
27-04-2018,324.8968811,343.4763794,213.6682739,90.96399689,526.7470093,67.34999847,298.8968201,1186.939941,2381.582764,153.4753876
30-04-2018,332.0593262,346.241394,214.3889923,89.39659119,524.3515015,66.15000153,309.5550842,1221.441772,2348.873779,155.7458038
02-05-2018,330.243866,348.4909973,207.4220581,89.01161957,520.3272095,65.19999695,295.2199707,1218.783936,2332.609863,147.9167786
03-05-2018,311.8652039,346.710083,205.2599182,88.86038208,505.2362366,65.09999847,290.5191956,1189.056396,2284.134277,149.3782043
04-05-2018,311.2683411,347.131897,203.0497284,90.67525482,517.788269,64.84999847,294.9407043,1186.742798,2250.025146,147.0034027
07-05-2018,311.1688232,346.1945496,207.2779236,94.53874969,525.0700073,65.5,297.9194031,1201.508545,2285.534668,148.9867554
08-05-2018,309.7015686,346.5226746,213.7643585,94.00252533,525.0222168,67.19999695,296.8954773,1194.371704,2258.744385,147.6557922
09-05-2018,311.2185974,345.4447021,212.7553558,94.0162735,530.7232666,68.59999847,293.4978638,1205.937866,2268.231934,147.7863007
10-05-2018,311.1688232,344.7886353,205.2599182,93.49382782,515.2490845,67,293.3582153,1209.924805,2210.178467,145.9856262
11-05-2018,313.5314636,343.4763794,205.8845367,94.20877075,524.5910034,67.05000305,288.5178833,1223.115234,2199.110352,149.7696686
14-05-2018,316.6898804,347.2724609,198.3890839,94.64874268,521.9081421,63.29999924,290.9380188,1187.678101,2196.535156,147.2382813
15-05-2018,318.3810425,347.4130859,195.3620911,93.34259033,521.4291992,62.29999924,290.7518616,1170.599365,2200.691406,147.0295105
16-05-2018,319.6245117,350.4124756,197.8605499,90.92274475,523.2976685,62.04999924,296.1973572,1162.478394,2185.466309,145.5158844
17-05-2018,318.9779053,348.0691833,197.4281311,90.84024811,517.3570557,62.54999924,298.8968201,1155.932617,2166.446533,144.5503082
18-05-2018,323.1311646,351.068573,189.5963593,88.40665436,501.3557434,60.45000076,296.1973572,1179.901733,2120.907471,141.079422
21-05-2018,311.7905579,349.7563782,185.9927979,89.54782867,502.2660522,62.04999924,288.3316956,1166.465332,2134.054199,137.7129211
22-05-2018,320.8431091,351.209198,190.7014465,90.19403839,526.1240845,62.25,291.2172546,1156.080078,2149.369629,140.896759
23-05-2018,317.4360352,345.1166992,188.2029724,88.80538177,520.9979858,66.30000305,288.9367065,1151.699951,2121.856445,131.8672485
24-05-2018,320.9923401,346.3351746,188.7315063,85.10687256,512.1350098,67.09999847,292.3343201,1159.42688,2161.341309,130.797287
25-05-2018,328.2542725,354.5834656,194.7855072,87.76045227,519.8481445,65,295.7785034,1151.20752,2172.681152,131.4236145
28-05-2018,331.3381348,354.1148071,199.0137177,92.50388336,539.4904175,65.65000153,297.7332764,1150.813965,2224.00293,132.3891754
29-05-2018,336.4612732,361.3789063,197.1878967,94.30500793,525.7407837,65.15000153,298.4314575,1232.66333,2173.720459,132.1803894
30-05-2018,335.6903076,357.9577942,199.7344513,94.33251953,534.7954712,65.44999695,296.476593,1276.762573,2126.916504,131.0582428
31-05-2018,330.9650879,359.269989,201.7044067,96.49112701,521.3812866,65.30000305,299.5950012,1249.889404,2142.728516,129.5968018
01-06-2018,322.8078308,362.5036926,198.8695526,93.86503601,516.4946289,63.70000076,301.9686279,1197.866211,2202.950195,129.5707245
04-06-2018,325.5683594,360.8165588,191.3740997,92.13265991,514.1471558,61,300.3396301,1180.197021,2174.714111,128.7878113
05-06-2018,302.1163025,357.0204468,191.7584839,92.03640747,506.4339905,58.09999847,303.8768616,1180.246094,2106.406006,128.5268555
06-06-2018,302.5888367,354.8647156,192.671402,91.55519867,510.8894348,57.29999924,312.2080078,1192.599976,2163.103516,128.6312561
07-06-2018,301.4199524,359.879303,195.1218414,92.18765259,524.3994141,60.95000076,310.9047852,1195.257813,2175.934082,129.0226898
08-06-2018,302.4395752,358.3795471,197.7644653,94.15378571,529.7651367,61.95000076,319.8876038,1181.378418,2175.934082,128.5529633
11-06-2018,300.5494995,361.9882507,194.5452728,94.47000885,535.3225098,61.45000076,325.4726563,1179.606201,2181.626709,128.4485626
12-06-2018,306.7917786,362.7380371,197.0918121,94.40125275,534.4121094,61.5,318.6308594,1215.43689,2213.747559,128.1353912
13-06-2018,304.4789124,363.8159485,196.9957123,94.82746887,536.0410767,62.04999924,313.7438965,1200.573364,2207.422852,126.8827438
14-06-2018,305.5731506,362.6442871,197.8605499,93.21884155,525.2617798,61.84999847,320.3529663,1230.153076,2193.281982,125.2908325
15-06-2018,310.1989441,359.7855225,192.0467834,92.09141541,532.2084351,59.40000153,315.1867065,1228.282959,2260.190186,124.5340271
