Date,ADANIPORTS.NS,BPCL.NS,COALINDIA.NS,HCLTECH.NS,HEROMOTOCO.NS,HINDUNILVR.NS,NTPC.NS,ONGC.NS,SUNPHARMA.NS,TECHM.NS
09-12-2019,367.6886902,398.3890686,132.3651581,492.4786377,2084.547363,1898.410889,92.48298645,101.1863937,422.4281921,683.4750977
16-12-2019,363.1528931,391.2113037,135.4340057,516.7332764,2133.626709,1838.701172,91.72328949,100.1065369,413.8208923,702.7631836
23-12-2019,354.7641907,393.7375793,137.2550659,514.602478,2177.534912,1845.135986,93.44259644,102.7061844,409.6856079,699.9372559
30-12-2019,373.1023254,387.7626953,142.8869171,530.4697876,2168.530273,1823.891846,95.44180298,102.7461777,427.5732422,695.3619995
06-01-2020,382.4176636,377.1363525,138.469101,526.208313,2107.103271,1849.015869,96.20149994,99.30664825,426.6115723,696.3937378
13-01-2020,378.0769958,364.0237732,140.2227478,542.9370728,2187.832031,1949.60437,96.92119598,100.3065109,437.1903381,698.3673706
20-01-2020,375.2969971,373.8081055,130.8138733,551.0067749,2200.893066,1962.28418,91.76326752,94.66726685,430.6506958,706.3068848
27-01-2020,353.3985901,355.6831055,117.0209045,537.5692139,2181.501953,1963.419556,87.40501404,83.46877289,406.6081543,724.4736938
03-02-2020,360.470459,394.0984497,124.811058,552.8528442,2178.426758,2043.900269,92.44300079,87.38824463,414.3017273,739.6351318
10-02-2020,357.836792,382.1086731,117.864006,565.5438232,2100.907471,2133.890625,90.12392426,82.62888336,402.520874,748.3372803
17-02-2020,361.7385254,378.339325,120.9665909,553.1713257,1997.266113,2127.455811,89.04434967,82.22893524,389.4417419,744.2553101
24-02-2020,333.79245,341.9289246,113.5811081,486.1229248,1881.098145,2057.905029,85.20589447,73.55010223,361.2080994,667.8201904
02-03-2020,333.012085,323.2826233,113.8171692,515.0982666,1868.76709,2071.294922,84.08634949,70.7904892,388.3302002,664.2316895
09-03-2020,285.5574036,301.5887756,103.9361496,448.4140015,1727.254517,1923.960327,78.40862274,52.7129097,372.1538391,596.4824219
16-03-2020,250.1004639,254.9128723,89.56990814,404.7460938,1664.681274,1941.466309,64.97399139,57.87221146,353.7980042,524.0988159
23-03-2020,247.8348083,223.5550385,96.83951569,391.7823181,1523.031616,2025.542725,66.3734436,51.55306244,327.6445618,458.3989563
30-03-2020,241.4244385,268.2781677,101.2881012,369.1750793,1450.464844,2038.364624,64.01615143,60.02040482,364.1625061,473.6759033
06-04-2020,248.4265289,291.7519531,103.530777,426.7164917,1825.309204,2244.793701,70.09183502,66.42201233,440.2012329,495.8183289
13-04-2020,264.4524536,304.6096802,109.376442,414.1620178,1683.201172,2256.858643,76.8515625,65.56273651,442.7681274,463.627594
20-04-2020,266.9179993,296.4467163,100.7366257,425.8522949,1737.202515,2160.433838,75.16162872,58.08703613,470.3261414,457.8078613
27-04-2020,286.0997925,312.9841003,109.192627,494.4925232,1986.487305,2077.067139,76.48944092,68.65612793,449.8877258,496.7276611
04-05-2020,281.1194153,274.7070313,94.85419464,471.6124878,1799.363281,1977.187988,70.01136017,65.3049469,454.2950134,487.5887451
11-05-2020,304.9857178,269.1663513,95.29538727,465.1078186,2011.104492,1922.919434,73.10956573,65.43384552,434.534668,464.2641296
18-05-2020,306.3171387,266.6286316,92.06003571,482.52948,1971.726685,1881.09436,73.19003296,65.43384552,454.6824646,481.6325684
25-05-2020,319.335083,289.9755554,103.8984299,500.5879822,2164.489258,1946.812866,78.74267578,71.49172974,459.3804016,482.3601379
01-06-2020,336.4458618,312.6457825,106.5087662,523.9683838,2145.969238,1975.4375,78.82315063,74.71401978,478.7533569,527.2814941
08-06-2020,340.5386353,316.2831421,99.00865936,519.2377319,2202.079102,1994.031616,77.97817993,72.0932312,465.0470276,504.4116211
15-06-2020,344.0889893,321.9084778,100.9204483,518.1914673,2159.904785,1980.310669,74.83974457,73.68289185,472.7961426,489.9985046
22-06-2020,338.4676208,332.9897156,104.4866791,511.6413574,2329.150879,2052.371338,78.05865479,72.30805206,464.9016724,510.0040283
29-06-2020,355.4304199,326.0110474,99.44983673,526.8795776,2510.499512,2070.949463,76.04684448,70.80431366,461.8989563,515.7783813
06-07-2020,330.3313904,318.3555908,96.47186279,529.6998901,2458.240234,2118.681396,72.74744415,67.49610138,478.4142761,517.4152222
13-07-2020,308.684021,375.4117432,96.03068542,566.9085693,2534.153809,2224.196289,71.05752563,69.0428009,487.8102112,545.3319702
20-07-2020,305.133667,379.302948,96.76599121,618.5820313,2512.745117,2104.866699,71.94272614,69.60131836,470.3745728,593.4360962
27-07-2020,310.8536987,350.0346985,95.0380249,643.5327148,2453.885254,2105.438477,70.01136017,67.28128052,515.0291138,624.9087524
03-08-2020,322.145813,355.0678406,95.40567017,629.9356689,2503.629639,2115.062988,69.04570007,67.58203125,509.4593811,607.3070679
10-08-2020,343.3000488,349.569458,96.94982147,647.0917358,2593.924072,2079.99585,71.13799286,66.25015259,514.6900635,637.9725952
17-08-2020,349.4638672,346.9048767,102.5748901,644.1715088,2806.383301,2106.929932,87.88667297,69.64429474,515.6587524,671.6176147
24-08-2020,355.0852661,351.0920715,102.2439957,644.6735229,2830.299072,2058.993896,84.23683167,69.0428009,539.3505249,689.7235718
31-08-2020,348.1324768,341.1950378,97.39099121,639.517395,2696.985352,2032.873291,78.55467987,66.93757629,497.3282166,685.9190674
